anio_epi,semana_epi,departamento,casos_confirmados,casos_probables,casos_total,t2m_max_sem,t2m_min_sem,t2m_prom_sem,precip_total,precip_dias_lluvia,humedad_prom,viento_prom,t2m_prom_sem_lag1,t2m_prom_sem_lag2,t2m_prom_sem_lag3,t2m_prom_sem_lag4,precip_total_lag1,precip_total_lag2,precip_total_lag3,precip_total_lag4,humedad_prom_lag1,humedad_prom_lag2,humedad_prom_lag3,humedad_prom_lag4,t2m_max_sem_lag1,t2m_max_sem_lag2,t2m_max_sem_lag3,t2m_max_sem_lag4,amplitud_termica,grados_dia,en_rango_optimo,temp_bajo_letal_frio,temp_sobre_estres_calor,dist_temp_optima,semana_lluviosa,estacion_lluviosa,semana_sin,semana_cos,casos_total_lag1,casos_total_lag2,casos_total_lag3,casos_total_lag4,casos_tendencia,casos_promedio_4sem
2015,50,Morazan,2.0,,2,29.24692307692308,19.655384615384616,23.95659340659341,13.622307692307691,7,81.85208791208791,1.3883516483516485,23.550989010989014,22.38956043956044,23.37824175824176,23.744175824175823,2.4461538461538463,2.4,6.508461538461539,24.888461538461534,78.10395604395605,78.67999999999999,81.48527472527473,84.86824175824177,29.673076923076923,28.93692307692308,28.514615384615382,28.664615384615384,9.591538461538462,13.956593406593406,1,0,0,3.043406593406594,1,0,-0.2393156642875578,0.970941817426052,1.0,7.0,5.0,5.0,-6.0,4.5
2015,52,Morazan,0.0,,0,31.226923076923075,18.136923076923075,24.13,1.6676923076923076,2,69.64890109890109,1.7975824175824175,23.87604395604396,23.95659340659341,23.550989010989014,22.38956043956044,0.2715384615384615,13.622307692307691,2.4461538461538463,2.4,73.42131868131868,81.85208791208791,78.10395604395605,78.67999999999999,30.66307692307692,29.24692307692308,29.673076923076923,28.93692307692308,13.09,14.13,1,0,0,2.870000000000001,0,0,6.432490598706546e-16,1.0,2.0,1.0,7.0,5.0,1.0,3.75
2016,3,Morazan,0.0,,0,32.28615384615385,15.51,23.547802197802195,0.7338461538461538,2,63.948021978021984,2.8732967032967034,24.266373626373625,24.08186813186813,24.13,23.87604395604396,0.47,0.3346153846153846,1.6676923076923076,0.2715384615384615,69.16461538461537,70.66373626373625,69.64890109890109,73.42131868131868,31.27769230769231,31.28692307692308,31.226923076923075,30.66307692307692,16.776153846153854,13.547802197802197,1,0,0,3.452197802197805,0,0,0.3546048870425356,0.9350162426854148,0.0,2.0,1.0,7.0,-2.0,2.5
2016,4,Morazan,0.0,,0,32.68692307692308,14.829230769230769,23.67604395604396,0.6384615384615384,2,61.65087912087912,2.3334065934065937,23.547802197802195,24.266373626373625,24.08186813186813,24.13,0.7338461538461538,0.47,0.3346153846153846,1.6676923076923076,63.948021978021984,69.16461538461537,70.66373626373625,69.64890109890109,32.28615384615385,31.27769230769231,31.28692307692308,31.226923076923075,17.85769230769231,13.67604395604396,1,0,0,3.3239560439560414,0,0,0.4647231720437685,0.8854560256532099,0.0,0.0,2.0,1.0,0.0,0.75
2016,5,Morazan,1.0,,1,33.004615384615384,18.345384615384614,24.666373626373627,1.186923076923077,3,62.14791208791208,2.1138461538461537,23.67604395604396,23.547802197802195,24.266373626373625,24.08186813186813,0.6384615384615384,0.7338461538461538,0.47,0.3346153846153846,61.65087912087912,63.948021978021984,69.16461538461537,70.66373626373625,32.68692307692308,32.28615384615385,31.27769230769231,31.28692307692308,14.65923076923077,14.666373626373629,1,0,0,2.333626373626373,0,0,0.5680647467311558,0.8229838658936564,0.0,0.0,0.0,2.0,0.0,0.5
2016,6,Morazan,0.0,,0,31.876153846153844,15.995384615384616,22.179450549450547,3.664615384615384,5,60.28417582417582,5.242637362637362,24.666373626373627,23.67604395604396,23.547802197802195,24.266373626373625,1.186923076923077,0.6384615384615384,0.7338461538461538,0.47,62.14791208791208,61.65087912087912,63.948021978021984,69.16461538461537,33.004615384615384,32.68692307692308,32.28615384615385,31.27769230769231,15.880769230769229,12.179450549450548,1,0,0,4.8205494505494535,0,0,0.6631226582407952,0.7485107481711011,1.0,0.0,0.0,0.0,1.0,0.25
2016,7,Morazan,0.0,,0,34.128461538461536,19.01923076923077,25.72120879120879,1.8415384615384616,5,56.966923076923074,3.132857142857143,22.179450549450547,24.666373626373627,23.67604395604396,23.547802197802195,3.664615384615384,1.186923076923077,0.6384615384615384,0.7338461538461538,60.28417582417582,62.14791208791208,61.65087912087912,63.948021978021984,31.876153846153844,33.004615384615384,32.68692307692308,32.28615384615385,15.109230769230766,15.721208791208792,1,0,0,1.2787912087912083,0,0,0.7485107481711011,0.6631226582407953,0.0,1.0,0.0,0.0,-1.0,0.25
2016,8,Morazan,0.0,,0,34.559999999999995,18.44538461538461,25.212197802197803,2.470769230769231,4,59.15824175824175,3.123186813186813,25.72120879120879,22.179450549450547,24.666373626373627,23.67604395604396,1.8415384615384616,3.664615384615384,1.186923076923077,0.6384615384615384,56.966923076923074,60.28417582417582,62.14791208791208,61.65087912087912,34.128461538461536,31.876153846153844,33.004615384615384,32.68692307692308,16.11461538461538,15.212197802197805,1,0,0,1.787802197802197,0,0,0.8229838658936564,0.5680647467311559,0.0,0.0,1.0,0.0,0.0,0.25
2016,9,Morazan,0.0,,0,34.85846153846153,18.361538461538466,26.468021978021977,1.0423076923076924,2,53.04010989010989,2.073406593406593,25.212197802197803,25.72120879120879,22.179450549450547,24.666373626373627,2.470769230769231,1.8415384615384616,3.664615384615384,1.186923076923077,59.15824175824175,56.966923076923074,60.28417582417582,62.14791208791208,34.559999999999995,34.128461538461536,31.876153846153844,33.004615384615384,16.49692307692307,16.468021978021977,1,0,0,0.5319780219780235,0,0,0.8854560256532099,0.4647231720437686,0.0,0.0,0.0,1.0,0.0,0.25
2016,10,Morazan,0.0,,0,34.72769230769231,21.344615384615388,26.545494505494503,4.986923076923077,7,63.16989010989011,1.6586813186813187,26.468021978021977,25.212197802197803,25.72120879120879,22.179450549450547,1.0423076923076924,2.470769230769231,1.8415384615384616,3.664615384615384,53.04010989010989,59.15824175824175,56.966923076923074,60.28417582417582,34.85846153846153,34.559999999999995,34.128461538461536,31.876153846153844,13.38307692307692,16.545494505494506,1,0,0,0.4545054945054936,0,0,0.9350162426854148,0.3546048870425355,0.0,0.0,0.0,0.0,0.0,0.0
