anio_epi,semana_epi,calendar_start_date,calendar_end_date,casos_dengue,t2m_max_sem,t2m_min_sem,t2m_prom_sem,precip_total,precip_dias_lluvia,humedad_prom,viento_prom,amplitud_termica,grados_dia,en_rango_optimo,dist_temp_optima,semana_lluviosa,estacion_lluviosa,semana_sin,semana_cos,t2m_prom_sem_lag1,t2m_prom_sem_lag2,t2m_prom_sem_lag3,t2m_prom_sem_lag4,precip_total_lag1,precip_total_lag2,precip_total_lag3,precip_total_lag4,humedad_prom_lag1,humedad_prom_lag2,humedad_prom_lag3,humedad_prom_lag4,casos_dengue_lag1,casos_dengue_lag2,casos_dengue_lag3,casos_dengue_lag4,casos_tendencia,casos_promedio_4sem
2022,42,2022-10-16,2022-10-22,193,28.427916666666665,23.2075,25.426309523809525,51.66833333333333,7.0,86.02226190476192,1.835595238095238,5.220416666666665,15.426309523809525,1,1.5736904761904746,1,1,-0.9350162426854148,0.35460488704253557,25.22196428571429,25.5922619047619,25.090892857142855,24.90535714285714,140.92291666666668,15.960416666666664,54.48208333333333,103.11666666666667,86.39946428571427,81.07958333333333,85.17077380952381,87.35190476190475,175.0,242.0,186.0,224.0,-67.0,206.75
2022,43,2022-10-23,2022-10-29,184,29.054642857142856,22.711964285714288,25.58744047619048,3.22875,5.625,81.14321428571428,1.501845238095238,6.342678571428568,15.58744047619048,1,1.41255952380952,0,1,-0.8854560256532101,0.464723172043768,25.426309523809525,25.22196428571429,25.5922619047619,25.090892857142855,51.66833333333333,140.92291666666668,15.960416666666664,54.48208333333333,86.02226190476192,86.39946428571427,81.07958333333333,85.17077380952381,193.0,175.0,242.0,186.0,18.0,199.0
2022,44,2022-10-30,2022-11-05,157,28.52065476190476,22.67571428571429,25.252202380952383,20.65375,6.125,82.61874999999999,1.6114285714285712,5.8449404761904695,15.252202380952383,1,1.747797619047617,1,0,-0.822983865893657,0.5680647467311548,25.58744047619048,25.426309523809525,25.22196428571429,25.5922619047619,3.22875,51.66833333333333,140.92291666666668,15.960416666666664,81.14321428571428,86.02226190476192,86.39946428571427,81.07958333333333,184.0,193.0,175.0,242.0,-9.0,198.5
2022,45,2022-11-06,2022-11-12,146,28.317678571428573,22.05815476190476,24.88559523809524,16.555416666666666,6.583333333333333,82.66666666666667,1.5736309523809524,6.259523809523813,14.885595238095242,1,2.1144047619047583,1,0,-0.7485107481711011,0.6631226582407952,25.252202380952383,25.58744047619048,25.426309523809525,25.22196428571429,20.65375,3.22875,51.66833333333333,140.92291666666668,82.61874999999999,81.14321428571428,86.02226190476192,86.39946428571427,157.0,184.0,193.0,175.0,-27.0,177.25
2022,46,2022-11-13,2022-11-19,94,29.76184523809524,22.58529761904762,25.80392857142857,6.2995833333333335,6.875,79.38047619047619,2.2948809523809524,7.176547619047621,15.803928571428571,1,1.196071428571429,0,0,-0.6631226582407955,0.7485107481711007,24.88559523809524,25.252202380952383,25.58744047619048,25.426309523809525,16.555416666666666,20.65375,3.22875,51.66833333333333,82.66666666666667,82.61874999999999,81.14321428571428,86.02226190476192,146.0,157.0,184.0,193.0,-11.0,170.0
2022,47,2022-11-20,2022-11-26,66,28.74886904761905,22.053809523809523,24.986607142857142,4.635416666666667,6.0,78.25035714285714,2.148630952380952,6.695059523809526,14.986607142857142,1,2.0133928571428577,0,0,-0.5680647467311559,0.8229838658936564,25.80392857142857,24.88559523809524,25.252202380952383,25.58744047619048,6.2995833333333335,16.555416666666666,20.65375,3.22875,79.38047619047619,82.66666666666667,82.61874999999999,81.14321428571428,94.0,146.0,157.0,184.0,-52.0,145.25
2022,48,2022-11-27,2022-12-03,66,28.328333333333333,22.005119047619047,24.83125,161.93791666666667,5.875,80.93190476190476,1.9167857142857143,6.323214285714286,14.83125,1,2.1687499999999993,1,0,-0.4647231720437684,0.88545602565321,24.986607142857142,25.80392857142857,24.88559523809524,25.252202380952383,4.635416666666667,6.2995833333333335,16.555416666666666,20.65375,78.25035714285714,79.38047619047619,82.66666666666667,82.61874999999999,66.0,94.0,146.0,157.0,-28.0,115.75
2022,49,2022-12-04,2022-12-10,76,28.236369047619046,20.199166666666667,23.828928571428573,1.5591666666666668,2.875,77.55845238095237,2.784464285714286,8.03720238095238,13.828928571428573,1,3.1710714285714268,0,0,-0.35460488704253595,0.9350162426854147,24.83125,24.986607142857142,25.80392857142857,24.88559523809524,161.93791666666667,4.635416666666667,6.2995833333333335,16.555416666666666,80.93190476190476,78.25035714285714,79.38047619047619,82.66666666666667,66.0,66.0,94.0,146.0,0.0,93.0
2022,50,2022-12-11,2022-12-17,50,28.31279761904762,20.42202380952381,24.23684523809524,0.0954166666666666,0.125,76.23845238095238,1.5817857142857144,7.890773809523807,14.236845238095238,1,2.7631547619047616,0,0,-0.2393156642875578,0.970941817426052,23.828928571428573,24.83125,24.986607142857142,25.80392857142857,1.5591666666666668,161.93791666666667,4.635416666666667,6.2995833333333335,77.55845238095237,80.93190476190476,78.25035714285714,79.38047619047619,76.0,66.0,66.0,94.0,10.0,75.5
2022,51,2022-12-18,2022-12-24,0,28.68285714285714,20.65934523809524,24.317916666666665,0.2258333333333333,0.375,76.48488095238095,2.4129761904761904,8.0235119047619,14.317916666666665,1,2.6820833333333347,0,0,-0.12053668025532363,0.992708874098054,24.23684523809524,23.828928571428573,24.83125,24.986607142857142,0.0954166666666666,1.5591666666666668,161.93791666666667,4.635416666666667,76.23845238095238,77.55845238095237,80.93190476190476,78.25035714285714,50.0,76.0,66.0,66.0,-26.0,64.5
